epoch,reward_date,market_price
211,08/22/20,0.110999
212,08/28/20,0.106836
213,09/02/20,0.124456
214,09/07/20,0.096162
215,09/12/20,0.097722
216,09/17/20,0.094425
217,09/22/20,0.082181
218,09/27/20,0.101041
219,10/02/20,0.092709
220,10/07/20,0.093424
221,10/12/20,0.111533
222,10/17/20,0.105513
223,10/22/20,0.110643
224,10/27/20,0.102595
225,11/01/20,0.097741
226,11/06/20,0.108131
227,11/11/20,0.106518
228,11/16/20,0.104059
229,11/21/20,0.128125
230,11/26/20,0.137332
231,12/01/20,0.158395
232,12/06/20,0.157801
233,12/11/20,0.141427
234,12/16/20,0.166626
235,12/21/20,0.153767
236,12/26/20,0.158159
237,12/31/20,0.180882
238,01/05/21,0.256044
239,01/10/21,0.307505
240,01/15/21,0.30409
241,01/20/21,0.362881
242,01/25/21,0.348413
243,01/30/21,0.362431
244,02/04/21,0.434146
245,02/09/21,0.693534
246,02/14/21,0.876806
247,02/19/21,0.945426
248,02/24/21,1.03
249,03/01/21,1.31
250,03/06/21,1.11
251,03/11/21,1.11
252,03/16/21,1.23
253,03/21/21,1.21
254,03/26/21,1.21
255,03/31/21,1.2
256,04/05/21,1.2
257,04/10/21,1.21
258,04/15/21,1.48
259,04/20/21,1.26
260,04/25/21,1.05
261,04/30/21,1.35
262,05/05/21,1.47
263,05/10/21,1.7
264,05/15/21,2.28
265,05/20/21,1.84
266,05/25/21,1.53
267,05/30/21,1.62
268,06/04/21,1.75
269,06/09/21,1.6
270,06/14/21,1.56
271,06/19/21,1.41
272,06/24/21,1.36
273,06/29/21,1.39
274,07/04/21,1.5
275,07/09/21,1.36
276,07/14/21,1.27
277,07/19/21,1.13
278,07/24/21,1.23
279,07/29/21,1.28
280,08/03/21,1.37
281,08/08/21,1.44
282,08/13/21,2.02
283,08/18/21,2.10
284,08/23/21,2.87
285,08/28/21,2.85
286,09/02/21,2.92
287,09/07/21,2.37
288,09/12/21,2.59
289,09/17/21,2.34
290,09/22/21,2.23
291,09/27/21,2.20
292,10/02/21,2.31
293,10/07/21,2.27
294,10/12/21,2.14
295,10/17/21,2.14
296,10/22/21,2.15
297,10/27/21,1.96
298,11/01/21,1.95
299,11/06/21,2.00
300,11/11/21,2.10
301,11/16/21,1.90
302,11/21/21,1.88
303,11/26/21,1.57
304,12/01/21,1.54
305,12/06/21,1.38
306,12/11/21,1.34
307,12/16/21,1.27
308,12/21/21,1.29
309,12/26/21,
310,12/31/21,
