,epoch,start_time,end_time,first_block_time,last_block_time,block_count,tx_count,output,fees,active_stake,avg_transaction_cost
0,211,1597355091,1597787091,1597355091,1597787068,21315,29083,66089740942.39711,6517.886228,10177811974.822905,0.22411326988274938
0,212,1597787091,1598219091,1597787091,1598219066,21280,24691,39331228906.60465,5578.218279,12106602864.871836,0.22592111615568425
0,213,1598219091,1598651091,1598219091,1598651065,21442,29348,28704281756.58812,7100.593256,12758829109.78435,0.241944706828404
0,214,1598651091,1599083091,1598651091,1599083064,21452,32374,67884126853.66413,7501.833746,13382718156.097189,0.23172402996231545
0,215,1599083091,1599515091,1599083091,1599515063,21572,32538,62380614021.09675,8110.049274,13864141914.846088,0.2492485485893417
0,216,1599515091,1599947091,1599515098,1599947063,21217,23374,22711441812.8787,5935.808427,14396547846.613762,0.2539491925643878
0,217,1599947091,1600379091,1599947091,1600379062,20728,20379,11972700977.894917,5075.696054,14776118270.46974,0.2490650205603808
0,218,1600379091,1600811091,1600379091,1600811062,20511,18439,18884590747.536743,4547.068473,14987431249.067863,0.24660060052063562
0,219,1600811091,1601243091,1600811091,1601243060,21427,20239,19083308578.055496,4970.020516,15657991508.07296,0.24556650605267055
0,220,1601243091,1601675091,1601243091,1601675059,21627,19534,12708523642.248888,5135.934788,15859988643.309526,0.26292284160950136
0,221,1601675091,1602107091,1601675091,1602107062,21547,16365,14661316268.620605,3913.521858,16064098678.859669,0.23913974078826764
0,222,1602107091,1602539091,1602107091,1602539065,21466,19298,16854292321.003504,4499.540105,16371244779.82402,0.2331609547621515
0,223,1602539091,1602971091,1602539091,1602971056,21374,18098,15617686728.839956,4423.831286,16743231852.830276,0.24443757796441593
0,224,1602971091,1603403091,1602971091,1603403068,21324,17527,13228947318.478115,4124.509016,16980957495.73468,0.235323159468249
0,225,1603403091,1603835091,1603403091,1603835086,21298,17856,7849943934.049314,4203.312194,17096070009.862837,0.23540054849910394
0,226,1603835091,1604267091,1603835091,1604267052,21439,19122,9868535708.539797,4393.72089,17208683641.999023,0.22977308283652337
0,227,1604267091,1604699091,1604267091,1604699054,21125,22103,28722505796.671913,4962.718967,17260167504.454384,0.2245269405510564
0,228,1604699091,1605131091,1604699091,1605131087,21171,31103,10233796013.39034,6777.734939,17348591975.63094,0.21791257881876347
0,229,1605131091,1605563091,1605131091,1605563047,21229,23712,8256404575.72957,5316.818724,19510155416.09183,0.2242248112348178
0,230,1605563091,1605995091,1605563091,1605995082,21244,31432,13518402099.265951,7168.655203,19636382936.67075,0.22806869441969968
0,231,1605995091,1606427091,1605995097,1606427043,21089,48347,19692027707.98839,11110.141677,19907907769.885464,0.22980002227645976
0,232,1606427091,1606859091,1606427091,1606859062,21149,45940,32641203268.912693,10681.640345,19977393570.330784,0.23251285034828037
0,233,1606859091,1607291091,1606859091,1607291078,21065,35641,19630936332.615932,8173.077946,19917513128.73384,0.22931674043938163
0,234,1607291091,1607723091,1607291091,1607723090,21046,33953,23265770078.694233,8006.069382,20094293921.511215,0.23579858575089094
0,235,1607723091,1608155091,1607723101,1608155028,21203,34170,20015673252.067757,8115.520823,20218109006.931644,0.23750426757389523
0,236,1608155091,1608587091,1608155091,1608587046,20915,32737,17576846558.243103,7838.075567,20387817635.42465,0.23942559082994777
0,237,1608587091,1609019091,1608587091,1609019073,21440,38103,92200457858.40207,8966.79163,20478038471.514496,0.23533033173240953
0,238,1609019091,1609451091,1609019095,1609451035,21245,49613,45425627530.17534,11693.879197,20598560072.620853,0.23570191677584504
0,239,1609451091,1609883091,1609451091,1609883063,21258,59712,76530562322.92227,14161.113125,21356205100.35959,0.2371569052284298
0,240,1609883091,1610315091,1609883091,1610315046,21428,85930,80832930648.9058,20069.060896,21440591255.207756,0.23355127308274176
0,241,1610315091,1610747091,1610315101,1610747088,21399,64234,58439001397.20594,14690.681083,21632982170.761196,0.2287056867546782
0,242,1610747091,1611179091,1610747091,1611179076,21418,74057,63148817438.049614,16905.060417,21755094259.019943,0.2282709320793443
0,243,1611179091,1611611091,1611179091,1611611090,21586,58682,44531349200.446205,13368.193376,21849089085.260376,0.22780739197709687
0,244,1611611091,1612043091,1611611091,1612043078,21491,59591,29427703690.683743,13516.792921,21956206748.62367,0.2268260797939286
0,245,1612043091,1612475091,1612043091,1612475007,21485,88703,52975770722.09866,20044.91851,22086904770.458817,0.22597790954082725
0,246,1612475091,1612907091,1612475091,1612907067,21327,142367,143252676044.4655,31528.825577,22190441040.634087,0.22146161383607155
0,247,1612907091,1613339091,1612907091,1613339043,21508,176490,75933109763.03644,38567.858687,22275517879.395325,0.21852716123859708
0,248,1613339091,1613771091,1613339110,1613771087,21356,151466,71532250660.13457,32686.545278,22376311335.660824,0.21580120474561948
0,249,1613771091,1614203091,1613771091,1614203073,21376,185379,66651221761.61328,40504.763143,22369166376.492897,0.2184970419680762
0,250,1614203091,1614635091,1614203091,1614635084,20991,192598,48999055712.56414,41831.556274,23034831199.28583,0.2171962132213211
0,251,1614635091,1615067091,1614635091,1615067086,21324,157658,26435938740.91093,34501.532516,23028427838.128765,0.21883781676794073
0,252,1615067091,1615499091,1615067091,1615499059,21085,139593,19251481091.16692,30758.641553,22675992136.32681,0.220345157371788
0,253,1615499091,1615931091,1615499091,1615931089,20922,145874,28210159664.107887,32480.018212,22807568628.326603,0.22265803509878387
0,254,1615931091,1616363091,1615931091,1616363062,20713,195957,40616180001.5704,43609.040032,22929461287.895664,0.22254392561633418
0,255,1616363091,1616795091,1616363091,1616795076,21268,168880,18208826054.097095,36360.919507,22753958467.47496,0.21530625004144954
0,256,1616795091,1617227091,1616795091,1617227085,21059,143164,11176034066.960367,30633.912084,22488877070.796906,0.2139777603587494
0,257,1617227091,1617659091,1617227300,1617659086,20836,183620,20749457990.041664,39170.561174,22670949084.364796,0.21332404516937153
0,258,1617659091,1618091091,1617659146,1618091079,21021,172429,19169937408.721745,37979.106429,22760955541.834538,0.22025939040996584
0,259,1618091091,1618523091,1618091226,1618523077,20796,201504,21371941614.90596,43782.816741,22791959380.28564,0.21728013707420202
0,260,1618523091,1618955091,1618524537,1618955067,21047,216117,29480393439.213715,46907.924914,22796009141.134396,0.21704875097285267
0,261,1618955091,1619387091,1618955105,1619387085,21087,194471,25993539291.713985,41390.363617,22716225550.169724,0.21283565990301898
0,262,1619387091,1619819091,1619387221,1619819084,21194,178588,19373557331.876682,37980.832313,22755688720.3403,0.21267292490536877
0,263,1619819091,1620251091,1619819127,1620251089,21111,227361,18055591131.448315,48870.395213,22726917708.873363,0.21494625381221935
0,264,1620251091,1620683091,1620251247,1620683077,21127,269945,32875005392.569,57777.59462,22955953661.89681,0.21403469084443127
0,265,1620683091,1621115091,1620683131,1621115080,21427,309042,37863332126.85455,65968.954839,23026399223.411514,0.21346274887879316
0,266,1621115091,1621547091,1621115396,1621547078,21404,317020,43872580429.488174,68417.65627,23083634214.117687,0.21581495258974198
0,267,1621547091,1621979091,1621547091,1621979085,21702,243673,35306324336.04888,52698.878516,23021654510.41947,0.2162688460190501
0,268,1621979091,1622411091,1621979109,1622411069,21413,208164,26570138231.832073,44159.912128,22843314790.026737,0.2121400056109606
0,269,1622411091,1622843091,1622411117,1622843072,21509,197254,16574349843.34755,41817.19037,22786770256.604954,0.21199666607521264
0,270,1622843091,1623275091,1622843183,1623275038,21395,174334,12213404538.685057,36489.177917,22893778548.07352,0.20930614749274382
0,271,1623275091,1623707091,1623275098,1623707059,21410,145244,12686700012.872149,30802.442909,22970909569.111347,0.2120737717840324
0,272,1623707091,1624139091,1623707123,1624139087,21499,135373,10640794327.820158,29593.210504,23020000415.780617,0.21860496926270379
0,273,1624139091,1624571091,1624139124,1624571089,21464,150752,15740586909.359854,32570.360903,23075664958.746574,0.21605259567368923
