,epoch,start_time,end_time,first_block_time,last_block_time,block_count,tx_count,output,fees,active_stake
0,211,1597355091,1597787091,1597355091,1597787068,21315,29083,66089740942397115,6517886228,10177811974822904
0,212,1597787091,1598219091,1597787091,1598219066,21280,24691,39331228906604653,5578218279,12106602864871837
0,213,1598219091,1598651091,1598219091,1598651065,21442,29348,28704281756588121,7100593256,12758829109784350
0,214,1598651091,1599083091,1598651091,1599083064,21452,32374,67884126853664130,7501833746,13382718156097189
0,215,1599083091,1599515091,1599083091,1599515063,21572,32538,62380614021096749,8110049274,13864141914846088
0,216,1599515091,1599947091,1599515098,1599947063,21217,23374,22711441812878700,5935808427,14396547846613762
0,217,1599947091,1600379091,1599947091,1600379062,20728,20379,11972700977894915,5075696054,14776118270469741
0,218,1600379091,1600811091,1600379091,1600811062,20511,18439,18884590747536746,4547068473,14987431249067863
0,219,1600811091,1601243091,1600811091,1601243060,21427,20239,19083308578055498,4970020516,15657991508072959
0,220,1601243091,1601675091,1601243091,1601675059,21627,19534,12708523642248889,5135934788,15859988643309526
0,221,1601675091,1602107091,1601675091,1602107062,21547,16365,14661316268620606,3913521858,16064098678859669
0,222,1602107091,1602539091,1602107091,1602539065,21466,19298,16854292321003503,4499540105,16371244779824020
0,223,1602539091,1602971091,1602539091,1602971056,21374,18098,15617686728839956,4423831286,16743231852830277
0,224,1602971091,1603403091,1602971091,1603403068,21324,17527,13228947318478116,4124509016,16980957495734679
0,225,1603403091,1603835091,1603403091,1603835086,21298,17856,7849943934049314,4203312194,17096070009862836
0,226,1603835091,1604267091,1603835091,1604267052,21439,19122,9868535708539797,4393720890,17208683641999022
0,227,1604267091,1604699091,1604267091,1604699054,21125,22103,28722505796671912,4962718967,17260167504454385
0,228,1604699091,1605131091,1604699091,1605131087,21171,31103,10233796013390340,6777734939,17348591975630940
0,229,1605131091,1605563091,1605131091,1605563047,21229,23712,8256404575729570,5316818724,19510155416091834
0,230,1605563091,1605995091,1605563091,1605995082,21244,31432,13518402099265951,7168655203,19636382936670747
0,231,1605995091,1606427091,1605995097,1606427043,21089,48347,19692027707988390,11110141677,19907907769885462
0,232,1606427091,1606859091,1606427091,1606859062,21149,45940,32641203268912693,10681640345,19977393570330784
0,233,1606859091,1607291091,1606859091,1607291078,21065,35641,19630936332615933,8173077946,19917513128733841
0,234,1607291091,1607723091,1607291091,1607723090,21046,33953,23265770078694233,8006069382,20094293921511214
0,235,1607723091,1608155091,1607723101,1608155028,21203,34170,20015673252067755,8115520823,20218109006931644
0,236,1608155091,1608587091,1608155091,1608587046,20915,32737,17576846558243105,7838075567,20387817635424648
0,237,1608587091,1609019091,1608587091,1609019073,21440,38103,92200457858402057,8966791630,20478038471514498
0,238,1609019091,1609451091,1609019095,1609451035,21245,49613,45425627530175333,11693879197,20598560072620853
0,239,1609451091,1609883091,1609451091,1609883063,21258,59712,76530562322922264,14161113125,21356205100359588
0,240,1609883091,1610315091,1609883091,1610315046,21428,85930,80832930648905808,20069060896,21440591255207756
0,241,1610315091,1610747091,1610315101,1610747088,21399,64234,58439001397205945,14690681083,21632982170761197
